date,aud_sgd
22/03/2023,0.8937
21/03/2023,0.8906
20/03/2023,0.8982
17/03/2023,0.8969
16/03/2023,0.8959
15/03/2023,0.8941
14/03/2023,0.8983
13/03/2023,0.8979
10/03/2023,0.8872
9/03/2023,0.8915
8/03/2023,0.8914
7/03/2023,0.8913
6/03/2023,0.9048
3/03/2023,0.9093
2/03/2023,0.9066
1/03/2023,0.907
28/02/2023,0.907
27/02/2023,0.9069
24/02/2023,0.9075
23/02/2023,0.9138
22/02/2023,0.9118
21/02/2023,0.9187
20/02/2023,0.9222
17/02/2023,0.9192
16/02/2023,0.9186
15/02/2023,0.9221
14/02/2023,0.9275
13/02/2023,0.9252
10/02/2023,0.92
9/02/2023,0.9192
8/02/2023,0.9181
7/02/2023,0.9212
6/02/2023,0.9135
3/02/2023,0.9154
2/02/2023,0.9266
1/02/2023,0.9319
31/01/2023,0.9265
30/01/2023,0.9276
27/01/2023,0.9323
26/01/2023,0.9333
25/01/2023,0.9324
24/01/2023,0.9297
23/01/2023,0.9261
20/01/2023,0.9189
19/01/2023,0.9131
18/01/2023,0.9165
17/01/2023,0.9224
16/01/2023,0.9185
13/01/2023,0.9202
12/01/2023,0.9207
11/01/2023,0.9178
10/01/2023,0.9168
9/01/2023,0.9194
6/01/2023,0.9175
5/01/2023,0.9079
4/01/2023,0.9158
3/01/2023,0.9048
2/01/2023,0.9124
30/12/2022,0.9128
29/12/2022,0.9106
28/12/2022,0.9093
27/12/2022,0.9066
26/12/2022,0.9063
23/12/2022,0.9079
22/12/2022,0.9018
21/12/2022,0.906
20/12/2022,0.9013
19/12/2022,0.9088
16/12/2022,0.9081
15/12/2022,0.9119
14/12/2022,0.9243
13/12/2022,0.9229
12/12/2022,0.9137
9/12/2022,0.9192
8/12/2022,0.9158
7/12/2022,0.9108
6/12/2022,0.909
5/12/2022,0.9093
2/12/2022,0.9177
1/12/2022,0.9217
30/11/2022,0.9238
29/11/2022,0.9185
28/11/2022,0.9168
25/11/2022,0.9278
24/11/2022,0.93
23/11/2022,0.9267
22/11/2022,0.9158
21/11/2022,0.9124
18/11/2022,0.9176
17/11/2022,0.9182
